"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"1650";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7029 501/4Z";"0BV7029 501/4Z";"Bulgari";"157.500000";"189";"10";"0";
"1594";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8208 54564Z";"0BV8208 54564Z";"Bulgari";"182.500000";"219";"10";"0";
"1602";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8169Q 977/13";"0BV8169Q 977/13";"Bulgari";"165.833333";"199";"10";"0";
"1546";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6109 203214";"0BV6109 203214";"Bulgari";"182.500000";"219";"9";"0";
"1610";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8178 11177E";"0BV8178 11177E";"Bulgari";"140.833333";"169";"10";"0";
"1554";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8171B 537913";"0BV8171B 537913";"Bulgari";"157.500000";"189";"10";"0";
"1618";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5040K 200681";"0BV5040K 200681";"Bulgari";"449.166667";"539";"10";"0";
"1562";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6087B 20206J";"0BV6087B 20206J";"Bulgari";"182.500000";"219";"10";"0";
"1626";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8198B 54408G";"0BV8198B 54408G";"Bulgari";"265.833333";"319";"10";"0";
"1570";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6091B 278/1A";"0BV6091B 278/1A";"Bulgari";"140.833333";"169";"10";"0";
"1634";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7032 53134Z";"0BV7032 53134Z";"Bulgari";"157.500000";"189";"10";"0";
"1578";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6101B 203890";"0BV6101B 203890";"Bulgari";"199.166667";"239";"10";"0";
"1642";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5034K 393/83";"0BV5034K 393/83";"Bulgari";"365.833333";"439";"10";"0";
"1586";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6105B 20148G";"0BV6105B 20148G";"Bulgari";"140.833333";"169";"10";"0";
"1534";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5044 128/87";"0BV5044 128/87";"Bulgari";"140.833333";"169";"10";"0";
"1714";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8201B 536213";"0BV8201B 536213";"Bulgari";"165.833333";"199";"10";"0";
"1478";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8194BF 501/8G";"0BV8194BF 501/8G";"Bulgari";"157.500000";"189";"10";"0";
"1658";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8194BF 54328H";"0BV8194BF 54328H";"Bulgari";"157.500000";"189";"10";"0";
"1722";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6077B 376/8G";"0BV6077B 376/8G";"Bulgari";"149.166667";"179";"10";"0";
"1486";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5044 195/81";"0BV5044 195/81";"Bulgari";"157.500000";"189";"10";"0";
"1666";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8198B 54423B";"0BV8198B 54423B";"Bulgari";"265.833333";"319";"10";"0";
"1430";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8141K 53198G";"0BV8141K 53198G";"Bulgari";"315.833333";"379";"10";"0";
"1730";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8181B 535313";"0BV8181B 535313";"Bulgari";"215.833333";"259";"10";"0";
"1494";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8202B 54128G";"0BV8202B 54128G";"Bulgari";"199.166667";"239";"10";"0";
"1674";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8201B 53768G";"0BV8201B 53768G";"Bulgari";"165.833333";"199";"10";"0";
"1438";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8187KB 5425T3";"0BV8187KB 5425T3";"Bulgari";"449.166667";"539";"10";"0";
"1738";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6087B 20144Z";"0BV6087B 20144Z";"Bulgari";"182.500000";"219";"10";"0";
"1502";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8120B 504/13";"0BV8120B 504/13";"Bulgari";"140.833333";"169";"10";"0";
"1682";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8207B 545013";"0BV8207B 545013";"Bulgari";"182.500000";"219";"10";"0";
"1446";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8196B 54313B";"0BV8196B 54313B";"Bulgari";"199.166667";"239";"10";"0";
"1746";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6093 278/87";"0BV6093 278/87";"Bulgari";"165.833333";"199";"10";"0";
"1510";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8170 501/8G";"0BV8170 501/8G";"Bulgari";"140.833333";"169";"10";"0";
"1690";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7028K 528683";"0BV7028K 528683";"Bulgari";"265.833333";"319";"10";"0";
"1454";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8206 504/13";"0BV8206 504/13";"Bulgari";"182.500000";"219";"10";"0";
"1754";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6103 201318";"0BV6103 201318";"Bulgari";"182.500000";"219";"10";"0";
"1518";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 531381";"0BV7027 531381";"Bulgari";"157.500000";"189";"10";"0";
"1698";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6088 20206J";"0BV6088 20206J";"Bulgari";"199.166667";"239";"10";"0";
"1462";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8175B 501/8G";"0BV8175B 501/8G";"Bulgari";"157.500000";"189";"10";"0";
"1526";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 2045H5";"0BV6089 2045H5";"Bulgari";"157.500000";"189";"10";"0";
"1706";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8199B 504/13";"0BV8199B 504/13";"Bulgari";"182.500000";"219";"10";"0";
"1470";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8184B 54261A";"0BV8184B 54261A";"Bulgari";"165.833333";"199";"10";"0";
"1653";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5039K 395/81";"0BV5039K 395/81";"Bulgari";"549.166667";"659";"10";"0";
"1597";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7021 530987";"0BV7021 530987";"Bulgari";"140.833333";"169";"10";"0";
"1605";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8171B 53908G";"0BV8171B 53908G";"Bulgari";"157.500000";"189";"10";"0";
"1549";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8207B 504/13";"0BV8207B 504/13";"Bulgari";"182.500000";"219";"10";"0";
"1613";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6086B 20148G";"0BV6086B 20148G";"Bulgari";"157.500000";"189";"10";"0";
"1557";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8178 901/8G";"0BV8178 901/8G";"Bulgari";"140.833333";"169";"10";"0";
"1621";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5042 195/87";"0BV5042 195/87";"Bulgari";"157.500000";"189";"10";"0";
"1565";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6095 20248G";"0BV6095 20248G";"Bulgari";"182.500000";"219";"10";"0";
"1629";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6097KB 395/T3";"0BV6097KB 395/T3";"Bulgari";"449.166667";"539";"10";"0";
"1573";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8193B 501/8G";"0BV8193B 501/8G";"Bulgari";"157.500000";"189";"10";"0";
"1637";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6108 20148H";"0BV6108 20148H";"Bulgari";"182.500000";"219";"10";"0";
"1581";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6102B 20148G";"0BV6102B 20148G";"Bulgari";"182.500000";"219";"10";"0";
"1645";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8171B 53838G";"0BV8171B 53838G";"Bulgari";"157.500000";"189";"10";"0";
"1589";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8205KB 5412T3";"0BV8205KB 5412T3";"Bulgari";"449.166667";"539";"10";"0";
"1709";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6098 202218";"0BV6098 202218";"Bulgari";"182.500000";"219";"10";"0";
"1473";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8187KB 5417T3";"0BV8187KB 5417T3";"Bulgari";"449.166667";"539";"10";"0";
"1537";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8195KB 5193T5";"0BV8195KB 5193T5";"Bulgari";"449.166667";"539";"10";"0";
"1717";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7032 544881";"0BV7032 544881";"Bulgari";"174.166667";"209";"10";"0";
"1481";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6092B 239/6F";"0BV6092B 239/6F";"Bulgari";"199.166667";"239";"10";"0";
"1661";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5044 20134Z";"0BV5044 20134Z";"Bulgari";"140.833333";"169";"10";"0";
"1725";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8170 536213";"0BV8170 536213";"Bulgari";"140.833333";"169";"10";"0";
"1489";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6099 203613";"0BV6099 203613";"Bulgari";"182.500000";"219";"10";"0";
"1669";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8197 536213";"0BV8197 536213";"Bulgari";"157.500000";"189";"10";"0";
"1433";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8170 504/13";"0BV8170 504/13";"Bulgari";"140.833333";"169";"10";"0";
"1733";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8180B 53623B";"0BV8180B 53623B";"Bulgari";"199.166667";"239";"10";"0";
"1497";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7032 541173";"0BV7032 541173";"Bulgari";"157.500000";"189";"10";"0";
"1677";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8204B 504/T5";"0BV8204B 504/T5";"Bulgari";"199.166667";"239";"10";"0";
"1441";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 128/T9";"0BV6089 128/T9";"Bulgari";"157.500000";"189";"10";"0";
"1741";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6088 20188G";"0BV6088 20188G";"Bulgari";"199.166667";"239";"10";"0";
"1505";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8141K 51958G";"0BV8141K 51958G";"Bulgari";"365.833333";"439";"10";"0";
"1685";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5031TG 408173";"0BV5031TG 408173";"Bulgari";"890.833333";"1069";"10";"0";
"1449";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6097KB 2041T5";"0BV6097KB 2041T5";"Bulgari";"449.166667";"539";"10";"0";
"1749";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5041 195/87";"0BV5041 195/87";"Bulgari";"157.500000";"189";"10";"0";
"1513";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6082 376/8H";"0BV6082 376/8H";"Bulgari";"132.500000";"159";"10";"0";
"1693";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8185B 54128G";"0BV8185B 54128G";"Bulgari";"182.500000";"219";"10";"0";
"1457";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6108 278/8G";"0BV6108 278/8G";"Bulgari";"182.500000";"219";"10";"0";
"1757";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6104 201318";"0BV6104 201318";"Bulgari";"182.500000";"219";"10";"0";
"1521";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8186KB 5193T5";"0BV8186KB 5193T5";"Bulgari";"449.166667";"539";"10";"0";
"1701";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 202218";"0BV6089 202218";"Bulgari";"157.500000";"189";"10";"0";
"1465";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 501/87";"0BV7027 501/87";"Bulgari";"140.833333";"169";"10";"0";
"1592";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6108 20144Z";"0BV6108 20144Z";"Bulgari";"182.500000";"219";"10";"0";
"1600";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6078KB 395/T3";"0BV6078KB 395/T3";"Bulgari";"365.833333";"439";"10";"0";
"1544";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5045 128/87";"0BV5045 128/87";"Bulgari";"140.833333";"169";"10";"0";
"1608";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8176B 504/13";"0BV8176B 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1552";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5036K 394/81";"0BV5036K 394/81";"Bulgari";"265.833333";"319";"10";"0";
"1616";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8194BF 504/13";"0BV8194BF 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1560";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8182B 901/8G";"0BV8182B 901/8G";"Bulgari";"265.833333";"319";"10";"0";
"1624";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6099 201318";"0BV6099 201318";"Bulgari";"182.500000";"219";"10";"0";
"1568";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5040K 200781";"0BV5040K 200781";"Bulgari";"449.166667";"539";"10";"0";
"1632";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6105B 20148H";"0BV6105B 20148H";"Bulgari";"140.833333";"169";"10";"0";
"1576";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8198B 544113";"0BV8198B 544113";"Bulgari";"265.833333";"319";"10";"0";
"1640";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8120B 501/8G";"0BV8120B 501/8G";"Bulgari";"140.833333";"169";"10";"0";
"1584";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8201BF 501/T3";"0BV8201BF 501/T3";"Bulgari";"182.500000";"219";"10";"0";
"1648";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8181B 54178G";"0BV8181B 54178G";"Bulgari";"215.833333";"259";"10";"0";
"1532";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6091B 20144Z";"0BV6091B 20144Z";"Bulgari";"140.833333";"169";"10";"0";
"1712";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8197 504/T5";"0BV8197 504/T5";"Bulgari";"174.166667";"209";"10";"0";
"1476";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 20294Z";"0BV6089 20294Z";"Bulgari";"157.500000";"189";"10";"0";
"1656";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6095 202555";"0BV6095 202555";"Bulgari";"182.500000";"219";"10";"0";
"1540";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8203 544618";"0BV8203 544618";"Bulgari";"182.500000";"219";"10";"0";
"1720";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6053BM 278/T5";"0BV6053BM 278/T5";"Bulgari";"165.833333";"199";"10";"0";
"1484";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8193B 504/13";"0BV8193B 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1664";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8199BF 504/13";"0BV8199BF 504/13";"Bulgari";"182.500000";"219";"10";"0";
"1428";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5031TG 408087";"0BV5031TG 408087";"Bulgari";"890.833333";"1069";"10";"0";
"1728";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 539473";"0BV7027 539473";"Bulgari";"140.833333";"169";"10";"0";
"1492";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6098 2032H5";"0BV6098 2032H5";"Bulgari";"182.500000";"219";"10";"0";
"1672";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6102B 278/13";"0BV6102B 278/13";"Bulgari";"182.500000";"219";"10";"0";
"1436";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6086B 278/T5";"0BV6086B 278/T5";"Bulgari";"174.166667";"209";"10";"0";
"1736";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6085B 278/13";"0BV6085B 278/13";"Bulgari";"165.833333";"199";"10";"0";
"1500";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6107 205011";"0BV6107 205011";"Bulgari";"182.500000";"219";"10";"0";
