ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique
3003;0;Lunettes de vue Ray Ban  0RX5228 5546 50;32,33;86,99;1;54,21;0RX5228 5546 50;3;2;8053672430004;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:17mm,Largeur totale:117mm,Hauteur d'un verre:34.5mm,Matière:Plastique,Forme:Carré,Genre:Femme
3004;0;Lunettes de vue Ray Ban  0RX5228 5628 50;32,33;86,99;1;54,21;0RX5228 5628 50;3;2;8053672604740;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:17mm,Largeur totale:117mm,Hauteur d'un verre:34.5mm,Matière:Plastique,Forme:Carré,Genre:Femme
3005;0;Lunettes de vue Ray Ban  0RX5228 5628 53;32,33;86,99;1;54,21;0RX5228 5628 53;3;2;8053672604757;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:36.6mm,Matière:Plastique,Forme:Carré,Genre:Femme
3006;0;Lunettes de vue Ray Ban  0RX5228 5798 55;32,33;86,99;1;54,21;0RX5228 5798 55;3;2;8053672927474;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:38.0mm,Matière:Plastique,Forme:Carré,Genre:Femme
3007;0;Lunettes de vue Ray Ban  0RX5150 2034 48;32,33;81,99;1;50,64;0RX5150 2034 48;3;2;0805289464235;10;Longueur des branches:135mm,Largeur d'un verre:48mm,Largeur du pont:19mm,Largeur totale:115mm,Hauteur d'un verre:29.3mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3008;0;Lunettes de vue Ray Ban  0RX5150 5240 48;32,33;81,99;1;50,64;0RX5150 5240 48;3;2;8053672124118;10;Longueur des branches:135mm,Largeur d'un verre:48mm,Largeur du pont:19mm,Largeur totale:115mm,Hauteur d'un verre:29.3mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3009;0;Lunettes de vue Ray Ban  0RX5150 5240 50;32,33;81,99;1;50,64;0RX5150 5240 50;3;2;8053672124095;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:30.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3010;0;Lunettes de vue Ray Ban  0RX5150 5713 50;32,33;81,99;1;50,64;0RX5150 5713 50;3;2;8053672783759;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:30.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3011;0;Lunettes de vue Ray Ban  0RX5150 5776 52;32,33;81,99;1;50,64;0RX5150 5776 52;3;2;8053672876215;10;Longueur des branches:135mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur totale:123mm,Hauteur d'un verre:31.6mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3012;0;Lunettes de vue Ray Ban  CLUBMASTER 0RX5154 2012 49;32,33;86,99;1;54,21;0RX5154 2012 49;3;2;0805289345015;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:21mm,Largeur totale:121mm,Hauteur d'un verre:38.3mm,Matière:Plastique,Forme:Carré,Genre:Mixte
3013;0;Lunettes de vue Ray Ban  0RX5169 2383 54;32,33;81,99;1;50,64;0RX5169 2383 54;3;2;0805289297055;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur totale:124mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3014;0;Lunettes de vue Ray Ban  0RX5169 5240 54;32,33;81,99;1;50,64;0RX5169 5240 54;3;2;8053672629347;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur totale:124mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3015;0;Lunettes de vue Ray Ban  0RX5169 5817 54;32,33;81,99;1;50,64;0RX5169 5817 54;3;2;8053672927887;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:16mm,Largeur totale:124mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3016;0;Lunettes de vue Ray Ban  RX5255 0RX5255 5777 51;32,33;86,99;1;54,21;0RX5255 5777 51;3;2;8053672876406;10;Longueur des branches:135mm,Largeur d'un verre:51mm,Largeur du pont:16mm,Largeur totale:118mm,Hauteur d'un verre:32.7mm,Matière:Plastique,Forme:Carré,Genre:Femme
3017;0;Lunettes de vue Ray Ban  NEW WAYFARER 0RX5184 5799 54;32,33;86,99;1;54,21;0RX5184 5799 54;3;2;8053672927573;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur totale:126mm,Hauteur d'un verre:40.1mm,Matière:Plastique,Forme:Carré,Genre:Mixte
3018;0;Lunettes de vue Ray Ban  0RX5298 5386 53;32,33;86,99;1;54,21;0RX5298 5386 53;3;2;8053672234909;10;Longueur des branches:135mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:37.2mm,Matière:Plastique,Forme:Papillon,Genre:Femme
3019;0;Lunettes de vue Ray Ban  0RX5298 5023 51;32,33;86,99;1;54,21;0RX5298 5023 51;3;2;8053672685909;10;Longueur des branches:135mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur totale:119mm,Hauteur d'un verre:35.8mm,Matière:Plastique,Forme:Papillon,Genre:Femme
3020;0;Lunettes de vue Ray Ban  0RX5298 5024 51;32,33;86,99;1;54,21;0RX5298 5024 51;3;2;8053672685930;10;Longueur des branches:135mm,Largeur d'un verre:51mm,Largeur du pont:17mm,Largeur totale:119mm,Hauteur d'un verre:35.8mm,Matière:Plastique,Forme:Papillon,Genre:Femme
3021;0;Lunettes de vue Ray Ban  0RX5285 5763 53;32,33;86,99;1;54,21;0RX5285 5763 53;3;2;8053672833720;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:19mm,Largeur totale:125mm,Hauteur d'un verre:42.6mm,Matière:Plastique,Forme:Carré,Genre:Mixte
3022;0;Lunettes de vue Ray Ban  0RX5283 2144 49;32,33;86,99;1;54,21;0RX5283 2144 49;3;2;0713132447406;10;Longueur des branches:145mm,Largeur d'un verre:49mm,Largeur du pont:21mm,Largeur totale:119mm,Hauteur d'un verre:43.3mm,Matière:Plastique,Forme:Pantos,Genre:Homme
3023;0;Lunettes de vue Ray Ban  0RX5283 5607 49;32,33;86,99;1;54,21;0RX5283 5607 49;3;2;8053672554571;10;Longueur des branches:145mm,Largeur d'un verre:49mm,Largeur du pont:21mm,Largeur totale:119mm,Hauteur d'un verre:43.3mm,Matière:Plastique,Forme:Pantos,Genre:Homme
3024;0;Lunettes de vue Ray Ban  0RX5283 5773 47;32,33;86,99;1;54,21;0RX5283 5773 47;3;2;8053672876529;10;Longueur des branches:145mm,Largeur d'un verre:47mm,Largeur du pont:21mm,Largeur totale:115mm,Hauteur d'un verre:41.6mm,Matière:Plastique,Forme:Pantos,Genre:Homme
3025;0;Lunettes de vue Ray Ban  0RX5287 2000 52;32,33;86,99;1;54,21;0RX5287 2000 52;3;2;8053672005288;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:35.3mm,Matière:Plastique,Forme:Carré,Genre:Homme
3026;0;Lunettes de vue Ray Ban  0RX5287 2034 52;32,33;86,99;1;54,21;0RX5287 2034 52;3;2;8053672186895;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:35.3mm,Matière:Plastique,Forme:Carré,Genre:Homme
3027;0;Lunettes de vue Ray Ban  0RX5287 5712 52;32,33;86,99;1;54,21;0RX5287 5712 52;3;2;8053672783889;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:35.3mm,Matière:Plastique,Forme:Carré,Genre:Homme
3028;0;Lunettes de vue Ray Ban  0RX5279 2012 53;32,33;86,99;1;54,21;0RX5279 2012 53;3;2;0713132442982;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur totale:124mm,Hauteur d'un verre:37.0mm,Matière:Plastique,Forme:Carré,Genre:Homme
3029;0;Lunettes de vue Ray Ban  0RX5279 5775 55;32,33;86,99;1;54,21;0RX5279 5775 55;3;2;8053672876482;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:128mm,Hauteur d'un verre:38.4mm,Matière:Plastique,Forme:Carré,Genre:Homme
3030;0;Lunettes de vue Ray Ban  0RX5279 5774 53;32,33;86,99;1;54,21;0RX5279 5774 53;3;2;8053672876475;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur totale:124mm,Hauteur d'un verre:37.0mm,Matière:Plastique,Forme:Carré,Genre:Homme
3031;0;Lunettes de vue Ray Ban  0RX5277 2000 52;32,33;81,99;1;50,64;0RX5277 2000 52;3;2;0713132447185;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:29.9mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3032;0;Lunettes de vue Ray Ban  0RX5277 2012 52;32,33;81,99;1;50,64;0RX5277 2012 52;3;2;0713132447208;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:29.9mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3033;0;Lunettes de vue Ray Ban  0RX5279F 2012 55;32,33;86,99;1;54,21;0RX5279F 2012 55;3;2;0713132452066;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:128mm,Hauteur d'un verre:38.4mm,Matière:Plastique,Forme:Carré,Genre:Homme
3034;0;Lunettes de vue Ray Ban  0RX8411 2714 56;32,33;109,99;1;68,5;0RX8411 2714 56;3;2;8053672278934;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:129mm,Hauteur d'un verre:35.4mm,Matière:Métal,Forme:Rectangle,Genre:Homme
3035;0;Lunettes de vue Ray Ban  0RX8412 2503 54;32,33;109,99;1;68,5;0RX8412 2503 54;3;2;8053672060874;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:30.1mm,Matière:Métal,Forme:Rectangle,Genre:Homme
3036;0;Lunettes de vue Ray Ban  0RX5245 2034 52;32,33;81,99;1;50,64;0RX5245 2034 52;3;2;0805289517443;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:33.4mm,Matière:Plastique,Forme:Carré,Genre:Homme
3037;0;Lunettes de vue Ray Ban  0RX5245 5608 52;32,33;81,99;1;50,64;0RX5245 5608 52;3;2;8053672554496;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:33.4mm,Matière:Plastique,Forme:Carré,Genre:Homme
3038;0;Lunettes de vue Ray Ban  0RX5246 2034 50;32,33;69,99;1;43,5;0RX5246 2034 50;3;2;0805289523291;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:16mm,Largeur totale:116mm,Hauteur d'un verre:25.4mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3039;0;Lunettes de vue Ray Ban  0RX7017 5197 54;32,33;86,99;1;54,21;0RX7017 5197 54;3;2;8053672061826;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:32.7mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3040;0;Lunettes de vue Ray Ban  0RX7017 2000 54;32,33;86,99;1;54,21;0RX7017 2000 54;3;2;8053672430363;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:32.7mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3041;0;Lunettes de vue Ray Ban  0RX7017 5197 52;32,33;86,99;1;54,21;0RX7017 5197 52;3;2;8053672690156;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3042;0;Lunettes de vue Ray Ban  0RX7017 5574 52;32,33;86,99;1;54,21;0RX7017 5574 52;3;2;8053672690255;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3043;0;Lunettes de vue Ray Ban  0RX7017 5752 52;32,33;86,99;1;54,21;0RX7017 5752 52;3;2;8053672875911;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:31.8mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3044;0;Lunettes de vue Ray Ban  0RX5268 5583 52;32,33;69,99;1;43,5;0RX5268 5583 52;3;2;8053672503289;10;Longueur des branches:135mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:35.0mm,Matière:Plastique,Forme:Rectangle,Genre:Mixte
3045;0;Lunettes de vue Ray Ban  0RX5268 5675 50;32,33;69,99;1;43,5;0RX5268 5675 50;3;2;8053672685244;10;Longueur des branches:135mm,Largeur d'un verre:50mm,Largeur du pont:17mm,Largeur totale:117mm,Hauteur d'un verre:33.6mm,Matière:Plastique,Forme:Rectangle,Genre:Mixte
3046;0;Lunettes de vue Ray Ban  0RX5228F 2000 53;32,33;86,99;1;54,21;0RX5228F 2000 53;3;2;8053672139952;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:36.6mm,Matière:Plastique,Forme:Carré,Genre:Femme
3047;0;Lunettes de vue Ray Ban  0RX5228F 2000 55;32,33;86,99;1;54,21;0RX5228F 2000 55;3;2;8053672350067;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:38.0mm,Matière:Plastique,Forme:Carré,Genre:Femme
3048;0;Lunettes de vue Ray Ban  0RX5228F 2479 55;32,33;86,99;1;54,21;0RX5228F 2479 55;3;2;8053672350081;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:38.0mm,Matière:Plastique,Forme:Carré,Genre:Femme
3049;0;Lunettes de vue Ray Ban  0RX8724 1000 56;32,33;103,99;1;64,93;0RX8724 1000 56;3;2;8053672164725;10;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:129mm,Hauteur d'un verre:32.0mm,Matière:Titane,Forme:Rectangle,Genre:Homme
3050;0;Lunettes de vue Ray Ban  0RX8724 1202 56;32,33;103,99;1;64,93;0RX8724 1202 56;3;2;8053672928259;10;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:129mm,Hauteur d'un verre:32.0mm,Matière:Titane,Forme:Rectangle,Genre:Homme
3051;0;Lunettes de vue Ray Ban  0RX8724 1203 54;32,33;103,99;1;64,93;0RX8724 1203 54;3;2;8053672928280;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:30.9mm,Matière:Titane,Forme:Rectangle,Genre:Homme
3052;0;Lunettes de vue Ray Ban  0RX8724 1201 54;32,33;103,99;1;64,93;0RX8724 1201 54;3;2;8053672928242;10;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:30.9mm,Matière:Titane,Forme:Rectangle,Genre:Homme
3053;0;Lunettes de vue Ray Ban  0RX8901 5244 53;32,33;109,99;1;68,5;0RX8901 5244 53;3;2;8053672187694;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:33.1mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3054;0;Lunettes de vue Ray Ban  0RX7029 2077 55;32,33;86,99;1;54,21;0RX7029 2077 55;3;2;8053672235524;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:38.6mm,Matière:Plastique,Forme:Carré,Genre:Homme
3055;0;Lunettes de vue Ray Ban  0RX7032 5772 52;32,33;103,99;1;64,93;0RX7032 5772 52;3;2;8053672876000;10;Longueur des branches:145mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:37.9mm,Matière:Plastique,Forme:Carré,Genre:Mixte
3056;0;Lunettes de vue Ray Ban  0RX7031 2000 55;32,33;103,99;1;64,93;0RX7031 2000 55;3;2;8053672234404;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:36.6mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3057;0;Lunettes de vue Ray Ban  0RX7031 2301 53;32,33;103,99;1;64,93;0RX7031 2301 53;3;2;8053672234367;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:35.2mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3058;0;Lunettes de vue Ray Ban  ROUND METAL 0RX3447V 2503 47;32,33;81,99;1;50,64;0RX3447V 2503 47;3;2;8053672357004;10;Longueur des branches:140mm,Largeur d'un verre:48mm,Largeur du pont:21mm,Largeur totale:117mm,Hauteur d'un verre:44.2mm,Matière:Métal,Forme:Pantos,Genre:Homme
3059;0;Lunettes de vue Ray Ban  ROUND METAL 0RX3447V 2620 47;32,33;81,99;1;50,64;0RX3447V 2620 47;3;2;8053672357028;10;Longueur des branches:140mm,Largeur d'un verre:48mm,Largeur du pont:21mm,Largeur totale:117mm,Hauteur d'un verre:44.2mm,Matière:Métal,Forme:Pantos,Genre:Homme
3060;0;Lunettes de vue Ray Ban  ROUND METAL 0RX3447V 2945 47;32,33;81,99;1;50,64;0RX3447V 2945 47;3;2;8053672875249;10;Longueur des branches:140mm,Largeur d'un verre:48mm,Largeur du pont:21mm,Largeur totale:117mm,Hauteur d'un verre:44.2mm,Matière:Métal,Forme:Pantos,Genre:Homme
3061;0;Lunettes de vue Ray Ban  ROUND METAL 0RX3447V 2991 47;32,33;81,99;1;50,64;0RX3447V 2991 47;3;2;8053672882612;10;Longueur des branches:140mm,Largeur d'un verre:48mm,Largeur du pont:21mm,Largeur totale:117mm,Hauteur d'un verre:44.2mm,Matière:Métal,Forme:Pantos,Genre:Homme
3062;0;Lunettes de vue Ray Ban  ROUND 0RX2447V 8033 49;32,33;86,99;1;54,21;0RX2447V 8033 49;3;2;8053672727784;10;Longueur des branches:145mm,Largeur d'un verre:49mm,Largeur du pont:21mm,Largeur totale:119mm,Hauteur d'un verre:46.6mm,Matière:Plastique,Forme:Pantos,Genre:Homme
3063;0;Lunettes de vue Ray Ban  0RX2180V 2000 47;32,33;75,99;1;47,07;0RX2180V 2000 47;3;2;8053672356823;10;Longueur des branches:145mm,Largeur d'un verre:47mm,Largeur du pont:21mm,Largeur totale:115mm,Hauteur d'un verre:44.9mm,Matière:Plastique,Forme:Pantos,Genre:Homme
3064;0;Lunettes de vue Ray Ban  0RX7047 5768 56;32,33;69,99;1;43,5;0RX7047 5768 56;3;2;8053672833416;10;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:129mm,Hauteur d'un verre:38.9mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3065;0;Lunettes de vue Ray Ban  0RX7047 5770 56;32,33;69,99;1;43,5;0RX7047 5770 56;3;2;8053672833454;10;Longueur des branches:145mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:129mm,Hauteur d'un verre:38.9mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3066;0;Lunettes de vue Ray Ban  0RX7046 5365 51;32,33;69,99;1;43,5;0RX7046 5365 51;3;2;8053672357844;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:44.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3067;0;Lunettes de vue Ray Ban  0RX7046 5602 51;32,33;69,99;1;43,5;0RX7046 5602 51;3;2;8053672558166;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:44.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3068;0;Lunettes de vue Ray Ban  0RX7046 5820 51;32,33;69,99;1;43,5;0RX7046 5820 51;3;2;8053672928341;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:18mm,Largeur totale:122mm,Hauteur d'un verre:44.5mm,Matière:Plastique,Forme:Rectangle,Genre:Femme
3069;0;Lunettes de vue Ray Ban  0RX6335 3010 54;32,33;81,99;1;50,64;0RX6335 3010 54;3;2;8053672927917;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:35.9mm,Matière:Métal,Forme:Rectangle,Genre:Homme
3070;0;Lunettes de vue Ray Ban  0RX7056 2000 53;32,33;81,99;1;50,64;0RX7056 2000 53;3;2;8053672403008;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:36.1mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3071;0;Lunettes de vue Ray Ban  0RX7056 2012 53;32,33;81,99;1;50,64;0RX7056 2012 53;3;2;8053672403015;10;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:17mm,Largeur totale:125mm,Hauteur d'un verre:36.1mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3072;0;Lunettes de vue Ray Ban  0RX7053 5365 52;32,33;69,99;1;43,5;0RX7053 5365 52;3;2;8053672402735;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:17mm,Largeur totale:123mm,Hauteur d'un verre:36.6mm,Matière:Plastique,Forme:Carré,Genre:Mixte
3073;0;Lunettes de vue Ray Ban  0RX7051 5200 49;32,33;103,99;1;64,93;0RX7051 5200 49;3;2;8053672402681;10;Longueur des branches:140mm,Largeur d'un verre:49mm,Largeur du pont:20mm,Largeur totale:118mm,Hauteur d'un verre:41.3mm,Matière:Plastique,Forme:Rectangle,Genre:Mixte
3074;0;Lunettes de vue Ray Ban  0RX6346 2861 52;32,33;81,99;1;50,64;0RX6346 2861 52;3;2;8053672456394;10;Longueur des branches:145mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur totale:123mm,Hauteur d'un verre:40.5mm,Matière:Métal,Forme:Carré,Genre:Mixte
3075;0;Lunettes de vue Ray Ban  0RX6346 2904 52;32,33;81,99;1;50,64;0RX6346 2904 52;3;2;8053672686425;10;Longueur des branches:145mm,Largeur d'un verre:52mm,Largeur du pont:19mm,Largeur totale:123mm,Hauteur d'un verre:40.5mm,Matière:Métal,Forme:Carré,Genre:Mixte
3076;0;Lunettes de vue Ray Ban  0RX6346 2973 50;32,33;81,99;1;50,64;0RX6346 2973 50;3;2;8053672836707;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:39.0mm,Matière:Métal,Forme:Carré,Genre:Mixte
3077;0;Lunettes de vue Ray Ban  0RX6346 3023 50;32,33;81,99;1;50,64;0RX6346 3023 50;3;2;8053672981063;10;Longueur des branches:140mm,Largeur d'un verre:50mm,Largeur du pont:19mm,Largeur totale:119mm,Hauteur d'un verre:39.0mm,Matière:Métal,Forme:Carré,Genre:Mixte
3078;0;Lunettes de vue Ray Ban  0RX7066 5847 54;32,33;69,99;1;43,5;0RX7066 5847 54;3;2;8053672979862;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:127mm,Hauteur d'un verre:44.2mm,Matière:Plastique,Forme:Carré,Genre:Homme
3079;0;Lunettes de vue Ray Ban  0RX7063 8018 52;32,33;81,99;1;50,64;0RX7063 8018 52;3;2;8053672782837;10;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:18mm,Largeur totale:124mm,Hauteur d'un verre:36.2mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3080;0;Lunettes de vue Ray Ban  0RX7063 8019 54;32,33;81,99;1;50,64;0RX7063 8019 54;3;2;8053672782806;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:128mm,Hauteur d'un verre:37.5mm,Matière:Plastique,Forme:Rectangle,Genre:Homme
3081;0;Lunettes de vue Ray Ban  0RX7073 5588 49;32,33;98,99;1;61,36;0RX7073 5588 49;3;2;8053672505245;10;Longueur des branches:140mm,Largeur d'un verre:49mm,Largeur du pont:21mm,Largeur totale:119mm,Hauteur d'un verre:46.3mm,Matière:Plastique,Forme:Pantos,Genre:Mixte
3082;0;Lunettes de vue Ray Ban  0RX6361 2861 52;32,33;81,99;1;50,64;0RX6361 2861 52;3;2;8053672551747;10;Longueur des branches:140mm,Largeur d'un verre:52mm,Largeur du pont:17mm,Largeur totale:121mm,Hauteur d'un verre:34.6mm,Matière:Métal,Forme:Rectangle,Genre:Homme
3083;0;Lunettes de vue Ray Ban  0RX6362 2509 55;32,33;81,99;1;50,64;0RX6362 2509 55;3;2;8053672551990;10;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:129mm,Hauteur d'un verre:40.5mm,Matière:Métal,Forme:Carré,Genre:Homme
